disease,description,precaution_1,precaution_2,precaution_3,precaution_4,medications,diets,workout
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"Antihistamines, Prednisone","Avoid trigger substances, balanced diet",Mild stretches and gentle movements (depending on symptoms)
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"Chloroquine, Artemisinin","High-protein, hydration, avoid fasting","Rest and hydration, light stretching once symptoms subside"
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,"Cetirizine, Loratadine","Avoid allergens (e.g., nuts, pollen), high-vitamin C","Breathing exercises, yoga (helps with nasal passage relife)"
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep,Levothyroxine,"High-fiber, iodine-rich (e.g., seafood)","Aerobic exercises like walking, cycling, swimming"
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Clobetasol, Methotrexate","Anti-inflammatory, avoid processed foods","Moderate exercises like swimming, stretching, yoga"
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Omeprazole, Ranitidine","Low-acid, avoid spicy foods, small meals","Gentle walking, yoga, avoid intense physical activity post-meal"
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,Ursodeoxycholic acid,"Low-fat, high-fiber",Low-impact exercises like walking or swimming
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,"Supportive care, Rest","High-calorie, low-fat, avoid alcohol","Rest, low-intensity exercises when liver function improves"
Hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,lie down on side,check in pulse,drink sugary drinks,consult doctor,"Glucose tablets, Glucagon","Frequent small meals, balanced carbs","Light exercises, regular walking, and balance activities"
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Benzoyl peroxide, Doxycycline","Low-glycemic, avoid dairy","Low-impact activities such as yoga, walking, swimming"
